timestamp_utc,timestamp_ph,segment_id,label,axis,duration_typical_s,duration_traffic_s,tti,distance_m,expected_distance_m,distance_check,speed_kmh,low_traffic_data
2026-09-02T23:41:41.458Z,2026-09-03 07:41:41 PHT,I3_I4_SB,"I3->I4 southbound (Cases/Asprer to Calvary)",NS_highway,38,49,1.289,196,200,OK,14.4,
2026-09-03T08:34:30.085Z,2026-09-03 16:34:30 PHT,I3_I4_SB,"I3->I4 southbound (Cases/Asprer to Calvary)",NS_highway,130,130,1.000,672,200,CHECK_COORDINATES,18.6,POSSIBLE
2026-09-03T08:45:33.962Z,2026-09-03 16:45:33 PHT,I3_I4_SB,"I3->I4 southbound (Cases/Asprer to Calvary)",NS_highway,130,130,1.000,673,200,CHECK_COORDINATES,18.6,POSSIBLE
2026-09-03T09:09:01.855Z,2026-09-03 17:09:01 PHT,I3_I4_SB,"I3->I4 southbound (Cases/Asprer to Calvary)",NS_highway,38,114,3.000,196,200,OK,6.2,
2026-09-03T09:24:13.784Z,2026-09-03 17:24:13 PHT,I3_I4_SB,"I3->I4 southbound (Cases/Asprer to Calvary)",NS_highway,38,52,1.368,196,200,OK,13.6,
2026-09-03T09:27:58.441Z,2026-09-03 17:27:58 PHT,I3_I4_SB,"I3->I4 southbound (Cases/Asprer to Calvary)",NS_highway,38,65,1.711,196,200,OK,10.9,
