timestamp_utc,timestamp_ph,segment_id,label,axis,duration_typical_s,duration_traffic_s,tti,distance_m,expected_distance_m,distance_check,speed_kmh,low_traffic_data
2026-08-01T22:33:20.920Z,2026-08-02 06:33:20 PHT,I4_EW,"Calvary Rd. crossing at I4 (west to east)",EW_cross,72,59,0.819,305,,N/A,18.6,
2026-08-01T22:47:38.171Z,2026-08-02 06:47:38 PHT,I4_EW,"Calvary Rd. crossing at I4 (west to east)",EW_cross,72,59,0.819,305,,N/A,18.6,
2026-08-01T23:02:53.381Z,2026-08-02 07:02:53 PHT,I4_EW,"Calvary Rd. crossing at I4 (west to east)",EW_cross,72,60,0.833,305,,N/A,18.3,
