timestamp_utc,timestamp_ph,segment_id,label,axis,duration_typical_s,duration_traffic_s,tti,distance_m,expected_distance_m,distance_check,speed_kmh,low_traffic_data
2026-07-28T08:32:35.390Z,2026-07-28 16:32:35 PHT,I3_WE_WEST PART,"T.asprer crossing at I3 (west to east)",NS_highway,39,38,0.974,150,150,OK,14.2,
2026-07-28T08:46:56.343Z,2026-07-28 16:46:56 PHT,I3_WE_WEST PART,"T.asprer crossing at I3 (west to east)",NS_highway,39,38,0.974,150,150,OK,14.2,
2026-07-28T09:00:42.106Z,2026-07-28 17:00:42 PHT,I3_WE_WEST PART,"T.asprer crossing at I3 (west to east)",NS_highway,39,38,0.974,150,150,OK,14.2,
