timestamp_utc,timestamp_ph,segment_id,label,axis,duration_typical_s,duration_traffic_s,tti,distance_m,expected_distance_m,distance_check,speed_kmh,low_traffic_data
2026-08-05T22:36:17.499Z,2026-08-06 06:36:17 PHT,I2_EW,"Grotto Rd./G. Tabora Rd. crossing at I2 (west to east)",EW_cross,86,79,0.919,302,,N/A,13.8,
2026-08-05T22:45:34.244Z,2026-08-06 06:45:34 PHT,I2_EW,"Grotto Rd./G. Tabora Rd. crossing at I2 (west to east)",EW_cross,86,78,0.907,302,,N/A,13.9,
2026-08-05T23:00:16.398Z,2026-08-06 07:00:16 PHT,I2_EW,"Grotto Rd./G. Tabora Rd. crossing at I2 (west to east)",EW_cross,86,75,0.872,302,,N/A,14.5,
