timestamp_utc,timestamp_ph,segment_id,label,axis,duration_typical_s,duration_traffic_s,tti,distance_m,expected_distance_m,distance_check,speed_kmh,low_traffic_data
2026-07-27T22:30:40.229Z,2026-07-28 06:30:40 PHT,I2_EW,"Grotto Rd./G. Tabora Rd. crossing at I2 (west to east)",EW_cross,92,80,0.870,302,,N/A,13.6,
2026-07-28T08:32:35.854Z,2026-07-28 16:32:35 PHT,I2_EW,"Grotto Rd./G. Tabora Rd. crossing at I2 (west to east)",EW_cross,92,100,1.087,302,,N/A,10.9,
2026-07-28T08:46:56.684Z,2026-07-28 16:46:56 PHT,I2_EW,"Grotto Rd./G. Tabora Rd. crossing at I2 (west to east)",EW_cross,92,112,1.217,302,,N/A,9.7,
