timestamp_utc,timestamp_ph,segment_id,label,axis,duration_typical_s,duration_traffic_s,tti,distance_m,expected_distance_m,distance_check,speed_kmh,low_traffic_data
2026-09-07T22:31:35.331Z,2026-09-08 06:31:35 PHT,I2_I3_SB,"I2->I3 southbound (Grotto/Tabora to Cases/Asprer)",NS_highway,29,25,0.862,134,136,OK,19.3,
2026-09-07T23:46:35.825Z,2026-09-08 07:46:35 PHT,I2_I3_SB,"I2->I3 southbound (Grotto/Tabora to Cases/Asprer)",NS_highway,29,49,1.690,134,136,OK,9.8,
2026-09-07T23:59:50.367Z,2026-09-08 07:59:50 PHT,I2_I3_SB,"I2->I3 southbound (Grotto/Tabora to Cases/Asprer)",NS_highway,29,33,1.138,134,136,OK,14.6,
