timestamp,segment_id,label,duration_typical_s,duration_traffic_s,tti,distance_m
2026-07-25T10:47:34.029Z,I3_I4,"I3 (Cases/Asprer) to I4 (Calvary)",26,25,0.962,188
2026-07-25T11:48:38.970Z,I3_I4,"I3 (Cases/Asprer) to I4 (Calvary)",26,25,0.962,188
